Slug,Title,Subtitle,DeadlineDate
isic-2024-challenge,ISIC 2024 - Skin Cancer Detection with 3D-TBP,Identify cancers among skin lesions cropped from 3D total body photographs,2024-09-06 23:59:00
llm-20-questions,LLM 20 Questions,Guess the secret word in this cooperative game of question asking and answering,2024-08-29 23:59:00
lmsys-chatbot-arena,LMSYS - Chatbot Arena Human Preference Predictions,Predicting Human Preferences in the Wild,2024-08-12 21:30:00
uspto-explainable-ai,USPTO - Explainable AI for Patent Professionals,Help patent professionals understand AI results through a familiar query language,2024-07-24 23:59:00
leap-atmospheric-physics-ai-climsim,LEAP - Atmospheric Physics using AI (ClimSim),"Simulate higher resolution atmospheric processes within E3SM-MMF, a climate model supported by the U.S. Department of Energy",2024-07-15 23:59:00
leash-BELKA,NeurIPS 2024 - Predict New Medicines with BELKA,Predict small molecule-protein interactions using the Big Encoded Library for Chemical Assessment (BELKA),2024-07-08 23:59:00
learning-agency-lab-automated-essay-scoring-2,Learning Agency Lab - Automated Essay Scoring 2.0,Improve upon essay scoring algorithms to improve student learning outcomes,2024-07-02 23:59:00
ai-mathematical-olympiad-prize,AI Mathematical Olympiad - Progress Prize 1,Solve national-level math challenges using artificial intelligence models,2024-06-27 23:59:00
birdclef-2024,BirdCLEF 2024,"Bird species identification from audio, focused on under-studied species in the Western Ghats, a major biodiversity hotspot in India.",2024-06-10 23:59:00
image-matching-challenge-2024,Image Matching Challenge 2024 - Hexathlon,Reconstruct 3D scenes from 2D images over six different domains,2024-06-03 23:59:00
home-credit-credit-risk-model-stability,Home Credit - Credit Risk Model Stability,Create a model measured against feature stability over time,2024-05-27 23:59:00
predict-energy-behavior-of-prosumers,Enefit - Predict Energy Behavior of Prosumers,Predict Prosumer Energy Patterns and Minimize Imbalance Costs.,2024-04-30 23:59:00
pii-detection-removal-from-educational-data,The Learning Agency Lab - PII Data Detection,Develop automated techniques to detect and remove PII from educational data.,2024-04-23 23:59:00
llm-prompt-recovery,LLM Prompt Recovery,Recover the prompt used to transform a given text,2024-04-16 23:59:00
march-machine-learning-mania-2024,March Machine Learning Mania 2024,Forecast the 2024 College Basketball Tournaments,2024-04-09 23:59:00
hms-harmful-brain-activity-classification,HMS - Harmful Brain Activity Classification,Classify seizures and other patterns of harmful brain activity in critically ill patients,2024-04-08 23:59:00
optiver-trading-at-the-close,Optiver - Trading at the Close,Predict US stocks closing movements,2024-03-22 17:20:00
blood-vessel-segmentation,SenNet + HOA - Hacking the Human Vasculature in 3D,Segment vasculature in 3D scans of human kidney,2024-02-06 23:59:00
santa-2023,Santa 2023 - The Polytope Permutation Puzzle,Solve twisty puzzles in the fewest moves,2024-01-31 23:59:00
llm-detect-ai-generated-text,LLM - Detect AI Generated Text,Identify which essay was written by a large language model,2024-01-22 23:59:00
linking-writing-processes-to-writing-quality,Linking Writing Processes to Writing Quality,Use typing behavior to predict essay quality,2024-01-09 23:59:00
UBC-OCEAN,UBC Ovarian Cancer Subtype Classification and Outlier Detection (UBC-OCEAN),Navigating Ovarian Cancer: Unveiling Common Histotypes and Unearthing Rare Variants,2024-01-03 23:59:00
cafa-5-protein-function-prediction,CAFA 5 Protein Function Prediction,Predict the biological function of a protein,2023-12-20 15:39:00
stanford-ribonanza-rna-folding,Stanford Ribonanza RNA Folding,Create a model that predicts the structures of any RNA molecule,2023-12-07 23:59:00
child-mind-institute-detect-sleep-states,Child Mind Institute - Detect Sleep States,Detect sleep onset and wake from wrist-worn accelerometer data,2023-12-05 23:59:00
open-problems-single-cell-perturbations,Open Problems – Single-Cell Perturbations,Predict how small molecules change gene expression in different cell types,2023-11-30 23:59:00
predict-ai-model-runtime,Google - Fast or Slow? Predict AI Model Runtime,Predict how fast an AI model runs,2023-11-17 23:59:00
